stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,corner_placement,stop_position,on_street,at_street,heading
66,66,4925 Craigwood/FM 969,004925 CRAIGWOOD & FM 969,30.284171,-97.659854,,https://www.capmetro.org/stopdetail/index.php?stop=66,,,,0,Southeast,Nearside,CRAIGWOOD,FM 969,11
243,243,Rio Grande/15th,000606 15TH & RIO GRANDE,30.278890,-97.746031,,https://www.capmetro.org/stopdetail/index.php?stop=243,,,,0,Northeast,Nearside,15TH,RIO GRANDE,290
252,252,200 Trinity/2nd,000200 TRINITY & 2ND,30.263842,-97.740427,,https://www.capmetro.org/stopdetail/index.php?stop=252,,,,0,Northeast,Mid-Block,TRINITY,2ND,19
462,462,851 Rutland/Park Village,000851 RUTLAND & PARK VILLAGE,30.365470,-97.697520,,https://www.capmetro.org/stopdetail/index.php?stop=462,,,,0,Southeast,Mid-Block,RUTLAND,PARK VILLAGE,118
466,466,8740 Lamar/Payton Gin,008740 LAMAR & PAYTON GIN,30.356809,-97.701066,,https://www.capmetro.org/stopdetail/index.php?stop=466,,,,0,Southwest,Mid-Block,LAMAR,PAYTON GIN,230
467,467,8630 Lamar/Fairfield,008630 LAMAR & FAIRFIELD,30.355296,-97.703128,,https://www.capmetro.org/stopdetail/index.php?stop=467,,,,0,Southwest,Farside,LAMAR,FAIRFIELD,230
468,468,Lamar/Thurmond,008400 LAMAR & THURMOND,30.353139,-97.706082,,https://www.capmetro.org/stopdetail/index.php?stop=468,,,,0,Southwest,Farside,LAMAR,THURMOND,230
469,469,8320 Lamar/Meadowlark,008320 LAMAR & MEADOWLARK,30.352256,-97.707295,,https://www.capmetro.org/stopdetail/index.php?stop=469,,,,0,Northwest,Nearside,LAMAR,MEADOWLARK,229
471,471,7720 Lamar/Stobaugh,007720 LAMAR & STOBAUGH,30.346044,-97.713966,,https://www.capmetro.org/stopdetail/index.php?stop=471,,,,0,Southwest,Mid-Block,LAMAR,STOBAUGH,204
472,472,7520 Lamar/Morrow,007520 LAMAR & MORROW,30.343163,-97.715653,,https://www.capmetro.org/stopdetail/index.php?stop=472,,,,0,Southwest,Mid-Block,LAMAR,MORROW,208
474,474,6814 Lamar/Justin,006814 LAMAR & JUSTIN,30.336204,-97.720006,,https://www.capmetro.org/stopdetail/index.php?stop=474,,,,0,Southwest,Farside,LAMAR,JUSTIN,208
